id,name,sector,stage,ticket_size_min,ticket_size_max,state,description,eligibility_summary,deadline,application_link,ministry
28,Manufacturing Innovation Scheme,All,Seed,1000000,5000000,All,Support for startups in advanced manufacturing,Manufacturing focus; Industry 4.0 tech; Make in India alignment,Rolling,https://www.manufacturingfund.in,Ministry of Heavy Industries
29,Logistics Tech Acceleration Fund,All,Seed,500000,2000000,All,Support for logistics and supply chain tech startups,Logistics tech focus; supply chain optimization; scalable model,Rolling,https://www.logisticstech.in,Ministry of Road Transport
30,Renewable Energy Startup Fund,All,All,1000000,5000000,All,Support for renewable energy technology startups,Renewable energy focus; clean tech; commercial viability,Rolling,https://mnre.gov.in,Ministry of New & Renewable Energy
31,Water Tech Innovation Fund,All,Seed,500000,2000000,All,Support for water technology and management startups,Water tech focus; environmental impact; scalable solution,Rolling,https://www.watertechinnovation.in,Ministry of Water Resources
32,Waste Management Tech Fund,All,Seed,500000,2000000,All,Support for waste management and circular economy startups,Waste management focus; circular economy; environmental benefit,Rolling,https://www.wastetechfund.in,Ministry of Environment
33,Smart City Startup Program,All,Seed,1000000,3000000,All,Support for startups contributing to smart city development,Smart city solution; scalability to multiple cities; government partnership ready,Rolling,https://smartcitiesindia.gov.in,Ministry of Housing & Urban Affairs
34,Tourism Tech Innovation Fund,All,Seed,500000,2000000,All,Support for tourism and hospitality technology startups,Tourism tech focus; improving visitor experience; scalable model,Rolling,https://www.tourismindia.gov.in/,Ministry of Tourism
35,Sports Tech Acceleration Program,All,Seed,500000,2000000,All,Support for sports technology and fitness startups,Sports tech focus; athlete or sports industry connection; scalable,Rolling,https://www.sportstechindia.in,Ministry of Youth Affairs & Sports
36,NASSCOM AI for Social Good Program,All,All,500000,2000000,All,Support for AI startups solving social challenges,AI technology; social impact focus; measurable outcomes,Annual,https://nasscom.in,NASSCOM
37,Microsoft Reactor Startup Program,All,Seed,500000,1000000,All,Support and mentorship for startups using Microsoft technologies,Tech startup; using Microsoft stack; scalable idea,Rolling,https://www.microsoft.com/reactor,Microsoft
38,Google for Startups Accelerator,All,Seed,1000000,5000000,All,Google's mentorship and funding program for startups,Innovative business model; growth potential; technology focus,Rolling,https://startup.google.com,Google
39,Amazon Accelerator India,All,Seed,1000000,3000000,All,Support for e-commerce and Amazon ecosystem startups,E-commerce or AWS-focused; marketplace seller potential; scalable,Rolling,https://www.amazonaccelerate.com,Amazon
40,ICICI Bank Startup Loan Program,All,Pre-Seed,500000,2000000,All,Special loans for registered startups from ICICI Bank,Registered startup; business plan ready; collateral-backed option,Ongoing,https://www.icicibank.com,ICICI Bank
41,Axis Bank Startup Financing,All,Pre-Seed,500000,2000000,All,Financing options for early stage startups from Axis Bank,Business plan; founder background check; growth potential,Ongoing,https://www.axisbank.com,Axis Bank
42,HDFC Bank Emerging Ventures,All,Seed,1000000,3000000,All,Support and financing for emerging ventures,Strong business fundamentals; experienced team; scalable model,Rolling,https://www.hdfcbank.com,HDFC Bank
43,YCombinator India Fellowship,All,Seed,500000,2000000,All,YCombinator's startup accelerator with focus on India-bound companies,Innovative idea; strong founding team; scalable vision,Rolling,https://www.ycombinator.com,YCombinator
44,500 Global Startup Fund,All,Seed,1000000,5000000,All,500 Global investment fund for high-growth startups,Innovative business; strong team; global expansion potential,Rolling,https://500.co,500 Global
45,Accel Partners India Fund,All,Seed,1000000,10000000,All,Accel's investment fund for Indian startups,Scalable business model; experienced team; market opportunity,Rolling,https://www.accel.com,Accel Partners
46,Lightspeed Venture Fund,All,Seed,2000000,10000000,All,Lightspeed's investment in Indian startups,Growth stage potential; experienced founders; scalable model,Rolling,https://www.lsvp.com,Lightspeed Venture Partners
47,Tiger Global Fund,All,All,2000000,50000000,All,Tiger Global's investment fund for Indian startups,Strong growth metrics; experienced team; clear unit economics,Rolling,https://www.tigerglobal.com,Tiger Global
48,Sequoia Capital India Fund,All,All,1000000,10000000,All,Sequoia Capital's investment in Indian startups,Innovative solution; experienced team; market leadership potential,Rolling,https://www.sequoia.com,Sequoia Capital
49,Blume Ventures Fund,All,Seed,500000,2000000,All,Blume Venture's early stage investment fund,Early stage company; strong team; innovative product,Rolling,https://www.blume.vc,Blume Ventures
50,Bessemer Venture Partners Fund,All,Seed,1000000,10000000,All,Bessemer's investment in high-potential Indian startups,Scalable market; experienced founders; product-market fit,Rolling,https://www.bvp.com,Bessemer Venture Partners
51,SISFS - Startup India Seed Fund Scheme,Multi-sector,Early Stage,5000000,50000000,Pan-India,"Central government flagship scheme providing seed funding for startups to support proof of concept, prototype development, product trials, market entry, and commercialization.",Indian startups recognized by DPIIT; incorporated less than 7 years ago; minimum team of 2 co-founders,Rolling,https://seedfund.startupindia.gov.in/,DPIIT
52,Fund of Funds Scheme,Multi-sector,Growth,5000000,250000000,Pan-India,"Government corpus of ₹10,000 crore contributed to AIFs registered with SEBI for funding startups across stages.",DPIIT recognized startups; valid incorporation and regulatory compliance.,Rolling,https://www.sidbivcf.in/,DPIIT
53,DSIR - Startup Scheme,Deeptech/R&D,Seed,1000000,10000000,Pan-India,"Department of Scientific and Industrial Research scheme supporting innovation and R&D in deeptech startups with focus on indigenous technology development.",Registered Indian startups with strong R&D component; PhD/MTech team preferred,Quarterly,https://dsir.gov.in/,DSIR
54,SERB - Start-up Research Award (SRA),Deeptech/R&D,Seed,500000,5000000,Pan-India,"Science and Engineering Research Board scheme for early-stage R&D-based startups working in fundamental research commercialization.",DPIIT recognized startups; strong academic/research background,Biannual,https://www.serb.gov.in/,DST
55,DBT Biotechnology Startup Support - BIRAC,Biotech/Life Sciences,Seed,2000000,15000000,Pan-India,"Biotechnology Industry Research Assistance Council scheme for biotech startups with Government of India backing for clinical and commercial development.",Biotech startup with DPIIT recognition; regulatory compliance,Rolling,https://www.birac.nic.in/,DBT
56,NITI Aayog - Atal Innovation Mission (AIM) Startup Support,Multi-sector,Ideation/Seed,500000,5000000,Pan-India,"Flagship startup ecosystem initiative with mentorship and funding support through Atal Incubation Centers across India.",Student/academic-led or working professional teams; innovative idea,Rolling,https://aim.gov.in/,NITI Aayog
57,MSME Udyam Anudaan,Small Business,Seed,100000,1000000,Pan-India,"Ministry of MSME scheme providing immediate grant support for registered MSME startups for first 3 years of operation.",MSMEs registered on Udyam; less than 3 years old; annual turnover <50 crores,Quarterly,https://udyamregistration.gov.in/,Ministry of MSME
58,AgriTech Innovation Fund - Ministry of Agriculture,Agritech,Seed/Early,2000000,20000000,Pan-India,"Central government scheme targeting agricultural technology startups for mechanization, crop management, and farmer-centric solutions.",Agritech startup; valid business registration,Rolling,https://www.pib.gov.in/,Ministry of Agriculture
59,EduTech Innovation Scheme - Ministry of Education,Edtech,Seed,1000000,10000000,Pan-India,"NEP 2020 aligned scheme supporting startups developing innovative educational technology solutions for Indian education system.",Edtech startup with focus on Indian curriculum/affordability,Rolling,https://www.education.gov.in/,Ministry of Education
60,HealthTech Scheme - Ministry of Health,Healthtech,Seed,1500000,12000000,Pan-India,"National Health Authority scheme for digital health and medical technology startups supporting telemedicine, diagnostics, and patient management.",Healthtech startup; healthcare professional partnership encouraged,Rolling,https://www.nha.gov.in/,Ministry of Health & Family Welfare
61,Fintech Regulatory Sandbox - SEBI,Fintech,Early Stage,2000000,50000000,Pan-India,"Securities and Exchange Board initiative providing regulatory sandbox environment for fintech startups to test innovation in securities market.",DPIIT recognized fintech startup; minimum 3 years operation preferred,Quarterly,https://www.sebi.gov.in/,SEBI
62,Green Energy Startup Support - MNRE,Cleantech,Seed,2000000,25000000,Pan-India,"Ministry of New and Renewable Energy scheme for solar, wind, battery, and clean energy technology startups.",Cleantech startup; technology innovation demonstrated,Rolling,https://mnre.gov.in/,MNRE
63,Maharashtra Startup Scheme,Multi-sector,Seed/Early,1000000,50000000,Maharashtra,"State government providing capital subsidy up to 30% for startups in recognized sectors; interest subsidy on loans.",DPIIT recognized startup or state startup-registered entity; Maharashtra registration,Rolling,https://industries.maharashtra.gov.in/,Maharashtra State Industries
64,Telangana T-Hub Accelerator Program,Multi-sector,Early Stage,5000000,100000000,Telangana,"State-backed accelerator with funding, mentorship, and market access for startups across all sectors; T-Hub is premier startup hub.",DPIIT recognized or state-registered startup; any sector,Rolling,https://t-hub.co/,Telangana State Government
65,Karnataka Startup Cell - Grant Scheme,Multi-sector,Seed,1000000,20000000,Karnataka,"State government providing non-dilutive grants and accelerator support through established startup ecosystem infrastructure.",Startup registered in Karnataka; innovative business model,Rolling,https://www.kstartup.in/,Karnataka State Government
66,Tamil Nadu Startup Fund,Multi-sector,Early/Growth,5000000,150000000,Tamil Nadu,"State flagship fund with ₹500 crore allocated for equity investment and grants for startups at various stages.",DPIIT recognized startup; registered in Tamil Nadu,Rolling,https://tnstartup.tn.gov.in/,Tamil Nadu State Government
67,Gujarat Startup Scheme,Multi-sector,Seed/Early,500000,30000000,Gujarat,"State government providing 50-75% capital subsidy on machinery and equipment purchase for recognized sector startups.",DPIIT recognized startup with Gujarat operations,Rolling,https://startupgujarat.org/,Gujarat State Industries
68,Uttar Pradesh Startup Action Plan,Multi-sector,Seed,1000000,25000000,Uttar Pradesh,"State scheme providing land at concessional rates, tax holidays, and capital subsidies for eligible startups.",DPIIT recognized startup; UP registration,Rolling,https://www.startupup.in/,UP Government
69,Punjab Technology Startup Fund,Multi-sector,Early Stage,2000000,50000000,Punjab,"State government fund supporting technology startups with investment and mentorship through state startup center.",Startup registered in Punjab; technology sector focus,Rolling,https://technextup.in/,Punjab State Government
70,Rajasthan Startup Policy,Multi-sector,Seed,500000,15000000,Rajasthan,"State scheme providing grants for skill development, incubation center support, and branding for startups.",DPIIT recognized or state registered startup,Rolling,https://www.startuprajasthan.org.in/,Rajasthan State Industries
71,Haryana Startup Scheme,Multi-sector,Seed/Early,1000000,30000000,Haryana,"State government providing seed grants and loan subsidies for startups in manufacturing and technology sectors.",DPIIT recognized startup with Haryana base,Rolling,https://haryana.startupindia.org/,Haryana State Government
72,Kerala Startup Mission,Multi-sector,Seed/Early,1000000,25000000,Kerala,"State-led initiative providing grants, mentorship, and equity-free funding for startups through incubators and accelerators.",Startup registered in Kerala; technology/innovation focus,Rolling,https://startupmission.kerala.gov.in/,Kerala State Government
73,West Bengal Startup Hub,Multi-sector,Early Stage,1000000,20000000,West Bengal,"State government scheme providing grants and accelerator support for tech and innovation-focused startups.",DPIIT recognized startup; WB registration,Rolling,https://westbengal.startupindia.org/,WB State Government
74,Assam Startup Initiative,Multi-sector,Seed,500000,10000000,Assam,"State scheme supporting early-stage startups through grants and incubation center access.",Startup registered in Assam; any sector,Rolling,https://assamstartup.org/,Assam State Government
75,ICICI Foundation - Venture Fund,Multi-sector,Early/Growth,5000000,200000000,Pan-India,"Corporate venture capital fund investing in social impact and technology startups across India with strategic support.",DPIIT recognized or proven track record; social impact focus preferred,Rolling,https://www.icicibank.com/ventures,ICICI Bank
76,HDFC Bank Startup Loans,Multi-sector,Early Stage,2000000,50000000,Pan-India,"Bank scheme providing working capital and expansion loans for DPIIT recognized startups with lower interest rates.",DPIIT recognized startup; 3+ months operating history,Rolling,https://www.hdfcbank.com/startups,HDFC Bank
77,HSBC Startup Banking Program,Fintech/Tech,Early/Growth,5000000,100000000,Pan-India,"Banking solutions and growth capital for technology and fintech startups with regulatory support and banking infrastructure.",DPIIT recognized tech/fintech startup; minimum 2 years operation,Rolling,https://www.hsbc.co.in/,HSBC Bank India
78,Axis Bank Startup Connect,Multi-sector,Early Stage,1000000,50000000,Pan-India,"Dedicated banking program for startups providing structured loans, working capital, and advisory services.",DPIIT recognized startup or proven business model,Rolling,https://www.axisbank.com/startups,Axis Bank
79,Yes Bank Growth Funding,Multi-sector,Growth,10000000,500000000,Pan-India,"Investment and debt funding solutions for scaling startups with industry expertise and mentorship support.",DPIIT recognized startup; established business operations,Rolling,https://www.yesbank.in/startups,Yes Bank
80,ICICI Prudential Venture Fund,Multi-sector,Growth,20000000,500000000,Pan-India,"Corporate venture investment fund focusing on fintech, healthtech, and enterprise software startups.",DPIIT recognized; proven market traction,Rolling,https://www.iciciprudential.com/ventures,ICICI Prudential
81,IIT Alumni Fund,Multi-sector,Early/Growth,5000000,100000000,Pan-India,"Alumni-backed venture fund from IIT institutions providing capital and mentorship to startup founders.",Founded by IIT alumni or strong IIT team presence; technology focus,Rolling,https://iitalibi.org/,IIT Alumni Association
82,Google for Startups - Google Cloud Credits,Tech/SaaS,Early,0,2000000,Pan-India,"Massive credits on Google Cloud Platform services (compute, storage, ML) for qualified early-stage startups.",Pre-Series A tech startup; >3 months old; innovative product,Rolling,https://cloud.google.com/startups,Google
83,Microsoft Startup Program,Tech/SaaS,Early/Growth,0,5000000,Pan-India,"Microsoft Azure cloud credits, technical support, and mentorship for early-stage startups and scale-ups.",DPIIT recognized startup; tech product focus,Rolling,https://www.microsoft.com/startup,Microsoft
84,AWS Activate Program,Tech/SaaS,Seed/Early,0,10000000,Pan-India,"Amazon Web Services credits for startups at launch and growth stages with technical support and training.",Any stage tech startup; innovative AWS-ready product,Rolling,https://aws.amazon.com/activate/,AWS
85,NASSCOM Startup Support Program,Tech/IT,Early/Growth,2000000,50000000,Pan-India,"Industry association providing market access, mentorship, and funding connections for IT and tech startups.",Tech/IT startup; NASSCOM membership optional,Rolling,https://www.nasscom.in/startups,NASSCOM
86,Qualcomm Innovation Fellowship,Deeptech,Early,500000,5000000,Pan-India,"Corporate fellowship supporting early-stage deeptech and IoT startups with funding and mentorship from industry experts.",Technology-focused startup; focused on wireless/mobile/IoT,Quarterly,https://www.qualcomm.com/innovation/fellowship,Qualcomm
87,KPMG Lighthouse Program,Multi-sector,Growth,10000000,100000000,Pan-India,"Advisory and advisory-led investment program for high-growth startups preparing for Series A and beyond.",DPIIT recognized startup; minimum Series A readiness,Rolling,https://kpmg.in/startups,KPMG
88,Accenture Venture Innovation Partnerships,Tech/Digital,Early/Growth,5000000,100000000,Pan-India,"Strategic partnerships and investments in digital transformation and emerging technology startups.",Digital/cloud/AI focused startup; proven technology traction,Rolling,https://www.accenture.com/ventures,Accenture
89,Deloitte Startup Connect,Multi-sector,Growth,10000000,150000000,Pan-India,"Advisory services and growth capital access for scaling startups through consulting support and partner network.",DPIIT recognized startup; ₹10-50 crore revenue range,Rolling,https://www2.deloitte.com/startups,Deloitte
90,EY Startup Program,Multi-sector,Early/Growth,5000000,100000000,Pan-India,"Mentorship, technology support, and market access for startups across all stages and sectors.",Registered startup with innovative business model,Rolling,https://www.ey.com/en_in/startups,Ernst & Young
91,AICTE Prime Grant Scheme,Edtech/Tech,Seed,500000,5000000,Pan-India,"All India Council for Technical Education supporting educational startups and student-led innovation ventures.",AICTE-recognized institution association or student founders; education/tech focus,Annual,https://www.aicte-india.org/,AICTE
92,MHRD Innovation Scheme,Edtech/Multi-sector,Seed,500000,10000000,Pan-India,"Ministry of Education (formerly MHRD) supporting innovation-based startups with institutional backing and grants.",Student or academic researcher founders; innovative project,Annual,https://www.education.gov.in/,Ministry of Education
93,INSPIRE Program - Department of Science,Deeptech/R&D,Seed,1000000,10000000,Pan-India,"Innovation in Science Pursuit for Inspired Research program supporting high-risk science and technology ventures.",PhD-holder or strong research background; fundamental science focus,Rolling,https://www.inspireawards.gov.in/,DST
94,CSIR Technology Incubator Program,Deeptech,Early,2000000,20000000,Pan-India,"Council of Scientific and Industrial Research incubator supporting commercialization of lab innovations and deeptech.",CSIR lab collaboration; innovative deeptech product,Rolling,https://csir.res.in/,CSIR
95,ISRO Technology Transfer Program,Deeptech/Space,Early,2000000,25000000,Pan-India,"Indian Space Research Organisation supporting commercialization of space technology for satellite and space-related startups.",Space/satellite technology focus; ISRO collaboration,Rolling,https://www.isro.gov.in/,ISRO
96,Department of Atomic Energy Innovation Fund,Deeptech/Nuclear,Early,2000000,20000000,Pan-India,"Supporting startups developing nuclear technology applications and innovative atomic science ventures.",Nuclear science background; DAE collaboration,Rolling,https://www.aec.gov.in/,DAE
97,BARC Technology Incubator,Deeptech,Early,1500000,15000000,Pan-India,"Bhabha Atomic Research Centre supporting commercialization of BARC laboratory innovations and deeptech products.",BARC institutional collaboration; science/tech innovation,Rolling,https://www.barc.gov.in/,DAE
98,Indian Railways Startup Innovation Challenge,Mobility/Logistics,Early/Growth,5000000,50000000,Pan-India,"Ministry of Railways supporting startups innovating in railway technology, logistics, and passenger services.",Railway tech/mobility innovation; proven prototype,Rolling,https://www.indianrailways.gov.in/,Ministry of Railways
99,Serum Institute Vaccine Development Fund,Biotech/Healthcare,Early,5000000,50000000,Pan-India,"Support for biotech startups developing vaccines and pharmaceutical innovations with Serum Institute network access.",Biotech/pharma startup; vaccine development focus,Rolling,https://www.seruminstitute.com/,Serum Institute of India
100,Dr Reddy's Pharma Innovation Fund,Biotech/Healthcare,Early/Growth,5000000,100000000,Pan-India,"Investment and partnership opportunities for pharmaceutical and biotech startups in drug development and healthcare tech.",Pharma/biotech startup with innovative product or platform,Rolling,https://www.drreddys.com/,Dr Reddy's Laboratories
101,Infosys Startup Program,Tech/Digital,Early/Growth,5000000,100000000,Pan-India,"Technology investments and partnership opportunities for digital transformation and emerging tech startups.",Tech/digital innovation startup; Series A readiness preferred,Rolling,https://www.infosys.com/ventures,Infosys
102,Wipro Ventures Fund,Multi-sector,Growth,20000000,300000000,Pan-India,"Corporate venture capital investing in enterprise software, cloud, and digital technology startups.",Tech/SaaS startup; B2B focus; minimum ₹5 crore revenue,Rolling,https://www.wipro.com/ventures,Wipro
103,TCS Startup Program,Tech/IT,Early/Growth,5000000,150000000,Pan-India,"Tata Consultancy Services supporting IT startups with market access, investment, and technology infrastructure support.",DPIIT recognized IT/tech startup,Rolling,https://www.tcs.com/startups,TCS
104,L&T Innovation Venture Fund,Deeptech/Manufacturing,Growth,50000000,500000000,Pan-India,"Larsen & Toubro investment fund for manufacturing, IoT, AI and industrial technology startups.",Deeptech/manufacturing/IoT startup; Series A+; proven traction,Rolling,https://www.lntecc.com/,L&T
105,ABB Venture Fund,Industrial/IoT,Early/Growth,5000000,100000000,Pan-India,"ABB supporting industrial automation, IoT, and electrical technology startups for manufacturing transformation.",Industrial/IoT/automation startup; B2B technology focus,Rolling,https://www.abb.com/ventures,ABB
106,Hero Ventures Fund,Mobility/Tech,Early/Growth,5000000,200000000,Pan-India,"Hero Group supporting mobility, automotive, and IoT-based technology startups.",Mobility/auto-tech/IoT startup; proven prototype or initial traction,Rolling,https://www.heroventures.com/,Hero MotoCorp
107,Mahindra Ventures,Multi-sector,Early/Growth,5000000,150000000,Pan-India,"Mahindra Group corporate venture investing in agritech, mobility, and emerging technology startups.",Innovation in automotive/agri/enterprise tech,Rolling,https://www.mahindraventures.com/,Mahindra Group
108,Bajaj Auto Mobility Fund,Mobility/EV,Early/Growth,5000000,100000000,Pan-India,"Bajaj Auto supporting electric vehicle, two-wheeler tech, and mobility solutions startups.",Mobility/EV/two-wheeler tech startup; proven technology,Rolling,https://bajajventures.com/,Bajaj Auto
109,Reliance Jio Startup Accelerator,Tech/Digital,Early/Growth,5000000,100000000,Pan-India,"Reliance Industries supporting 5G, IoT, digital platform, and connectivity-based startups.",5G/IoT/digital platform startup; technology innovation focus,Rolling,https://jiostartups.reliance.com/,Reliance Industries
110,GAIL Innovation Fund,Cleantech/Energy,Early,5000000,50000000,Pan-India,"Gas Authority of India supporting startups in energy efficiency, gas technology, and clean energy solutions.",Energy/cleantech startup; utility/industrial focus,Rolling,https://www.gailindia.com/,GAIL
111,Coal India Technology Fund,Cleantech/Mining,Early,5000000,50000000,Pan-India,"Coal India Limited supporting startups in mining technology, renewable energy, and sustainable operations.",Mining/energy tech startup; deep tech innovation,Rolling,https://www.coalindia.in/,Coal India Limited
112,ONGC Venture Fund,Energy/Tech,Early/Growth,5000000,100000000,Pan-India,"Oil and Natural Gas Corporation supporting energy, deeptech, and innovative oil & gas technology startups.",Energy/oil-gas tech startup; B2B technology focus,Rolling,https://www.ongcindia.com/,ONGC
113,Hindustan Petroleum Startup Support,Cleantech/Energy,Early,5000000,50000000,Pan-India,"HPCL supporting clean energy, refining technology, and sustainable fuel alternatives startups.",Cleantech/energy/fuel tech startup; operational efficiency focus,Rolling,https://www.hindustanpetroleum.com/,HPCL
114,Bharat Petroleum Innovation Initiative,Energy/Tech,Early,5000000,50000000,Pan-India,"BPCL supporting startups developing petroleum technology, renewable energy, and energy security innovations.",Energy/pet-tech startup; infrastructure or operational innovation,Rolling,https://www.bharatpetroleum.com/,BPCL
115,State Bank of India Startup Loan Program,Multi-sector,Early/Growth,2000000,100000000,Pan-India,"SBI providing loans and credit facilities specifically designed for DPIIT-recognized startups at preferential rates.",DPIIT recognized startup; 6+ months operating history,Rolling,https://www.sbi.co.in/startups,SBI
116,EXIM Bank Trade Finance for Startups,Export/Tech,Early/Growth,5000000,100000000,Pan-India,"Export-Import Bank providing trade finance and export credit for startups looking to expand internationally.",Startup with export/import business model; ₹1+ crore revenue,Rolling,https://www.eximbankindia.in/,EXIM Bank
117,NABARD Agricultural Startup Scheme,Agritech,Seed,500000,10000000,Pan-India,"National Bank for Agriculture and Rural Development supporting agritech startups with microfinance and grants.",Agritech startup registered in rural area; agriculture innovation,Rolling,https://www.nabard.org/,NABARD
118,Atal Incubation Center Grants,Multi-sector,Seed,500000,5000000,Pan-India,"NITI Aayog-backed incubators providing non-dilutive grants and mentorship across 150+ centers nationwide.",Startup associated with AIM-recognized incubator,Rolling,https://aim.gov.in/aic,NITI Aayog
119,CFTC University Technology Park Support,Deeptech,Early,1000000,15000000,Pan-India,"Central government support for university technology parks incubating deeptech and research-commercialization startups.",University-affiliated startup; research-based innovation,Rolling,https://www.cftc.gov.in/,Ministry of Education
120,IIM Alumni Venture Fund,Multi-sector,Early/Growth,10000000,100000000,Pan-India,"IIM alumni-backed venture capital fund investing in business and tech startups with MBA founder backing.",MBA founder or IIM-affiliated team; business innovation focus,Rolling,https://iimbusinessventures.org/,IIM Alumni Network
121,XLRI Startup Fund,Multi-sector,Early,5000000,50000000,Pan-India,"Xavier School of Management alumni and institutional fund supporting management-backed tech and business startups.",XLRI alumni founder or institutional partnership,Rolling,https://www.xlri.ac.in/ventures,XLRI
